respondent_id,survey_date,city,age_group,gender,income_bracket,awareness_channel,product_interest,funnel_stage,purchase_motivator,purchase_barrier,monthly_spend_inr,nps_score,nps_category,top_satisfaction_driver,survey_completion_min
VE0020,2024-07-04,Jaipur,45-54,Female,3-6L,Instagram,Collagen,Consideration,,None,0,,,,13.5
VE0021,2024-10-20,Mumbai,35-44,Female,3-6L,Instagram,Whey Protein,Intent,Peer Recommendation,Too Expensive,0,,,,11.3
VE0022,2024-08-04,Ahmedabad,45-54,Male,6-10L,Instagram,Whey Protein,Awareness,,Too Many Options,0,,,,6.7
VE0023,2024-09-22,Hyderabad,25-34,Male,<3L,Doctor Recommendation,Probiotic,Consideration,,Too Many Options,0,,,,10.3
VE0024,2024-06-11,Mumbai,45-54,Female,10-20L,Doctor Recommendation,Whey Protein,Intent,Discount/Offer,Unsure of Efficacy,0,,,,17.0
VE0025,2024-07-31,Ahmedabad,55+,Female,10-20L,Instagram,Ashwagandha,Consideration,,Lack of Trust,0,,,,8.1
VE0026,2024-11-27,Delhi,45-54,Female,3-6L,Doctor Recommendation,Omega-3,Consideration,,Unsure of Efficacy,0,,,,13.4
VE0027,2024-09-11,Mumbai,45-54,Prefer not to say,3-6L,Google Search,Multivitamin,Awareness,,Prefer Offline,0,,,,6.1
VE0028,2024-08-06,Delhi,55+,Male,<3L,YouTube,Ashwagandha,Consideration,,Prefer Offline,0,,,,16.6
VE0029,2024-07-19,Mumbai,35-44,Male,20L+,Google Search,Ashwagandha,Awareness,,Too Many Options,0,,,,10.3
VE0030,2024-11-18,Jaipur,35-44,Female,3-6L,Facebook,Omega-3,Intent,Influencer,Too Expensive,0,,,,13.6
VE0031,2024-07-15,Hyderabad,25-34,Female,<3L,YouTube,Omega-3,Consideration,,Prefer Offline,0,,,,13.6
VE0032,2024-10-09,Bangalore,45-54,Female,3-6L,Instagram,Omega-3,Intent,Peer Recommendation,Too Many Options,0,,,,15.4
VE0033,2024-07-08,Delhi,25-34,Male,10-20L,Instagram,Multivitamin,Intent,Influencer,Unsure of Efficacy,0,,,,16.6
VE0034,2024-06-28,Pune,25-34,Female,10-20L,YouTube,Omega-3,Awareness,,Too Expensive,0,,,,15.3
VE0035,2024-11-18,Hyderabad,35-44,Male,10-20L,YouTube,Collagen,Awareness,,Prefer Offline,0,,,,16.6
VE0036,2024-09-30,Bangalore,35-44,Female,3-6L,Word of Mouth,Omega-3,Intent,Brand Trust,Unsure of Efficacy,0,,,,6.4
VE0037,2024-07-30,Bangalore,18-24,Male,6-10L,YouTube,Omega-3,Consideration,,Unsure of Efficacy,0,,,,16.1
VE0038,2024-10-26,Bangalore,18-24,Male,10-20L,Doctor Recommendation,Vitamin D3,Consideration,,Too Many Options,0,,,,11.1
VE0039,2024-08-09,Bangalore,18-24,Male,10-20L,YouTube,Whey Protein,Intent,Price,Unsure of Efficacy,0,,,,5.6
VE0040,2024-09-18,Delhi,25-34,Male,6-10L,Instagram,Multivitamin,Awareness,,Unsure of Efficacy,0,,,,7.9
VE0041,2024-06-21,Bangalore,35-44,Male,20L+,Instagram,Whey Protein,Awareness,,Too Expensive,0,,,,17.3
VE0042,2024-07-22,Kolkata,35-44,Male,6-10L,Instagram,Vitamin D3,Purchase,Peer Recommendation,None,1000,10,Promoter,Product Efficacy,4.8
VE0043,2024-08-19,Hyderabad,45-54,Male,20L+,Instagram,Ashwagandha,Awareness,,Unsure of Efficacy,0,,,,16.0
VE0044,2024-11-01,Kolkata,45-54,Female,<3L,Google Search,Ashwagandha,Consideration,,Too Expensive,0,,,,15.6
VE0045,2024-06-28,Bangalore,25-34,Female,6-10L,Instagram,Whey Protein,Consideration,,Too Many Options,0,,,,10.8
VE0046,2024-10-30,Mumbai,45-54,Female,<3L,Doctor Recommendation,Multivitamin,Consideration,,Unsure of Efficacy,0,,,,11.2
VE0047,2024-08-23,Delhi,25-34,Female,3-6L,Doctor Recommendation,Ashwagandha,Intent,Price,Lack of Trust,0,,,,12.0
VE0048,2024-08-01,Chennai,35-44,Male,10-20L,Instagram,Multivitamin,Intent,Influencer,Prefer Offline,0,,,,18.0
VE0049,2024-10-19,Mumbai,35-44,Male,3-6L,Instagram,Whey Protein,Intent,Brand Trust,Too Expensive,0,,,,8.2
VE0050,2024-10-29,Lucknow,25-34,Male,<3L,Instagram,Multivitamin,Intent,Brand Trust,None,0,,,,13.9
VE0051,2024-07-03,Chennai,35-44,Male,<3L,YouTube,Omega-3,Consideration,,Unsure of Efficacy,0,,,,6.0
VE0052,2024-06-17,Bangalore,18-24,Female,<3L,Instagram,Omega-3,Consideration,,Too Expensive,0,,,,12.7
VE0053,2024-11-06,Mumbai,25-34,Male,6-10L,Doctor Recommendation,Vitamin D3,Consideration,,Too Many Options,0,,,,17.3
VE0054,2024-07-24,Hyderabad,25-34,Male,3-6L,Google Search,Whey Protein,Consideration,,Prefer Offline,0,,,,7.6
VE0055,2024-11-28,Mumbai,45-54,Male,3-6L,Instagram,Collagen,Consideration,,Too Expensive,0,,,,11.9
VE0056,2024-11-13,Delhi,25-34,Male,<3L,Word of Mouth,Ashwagandha,Awareness,,None,0,,,,6.2
VE0057,2024-11-24,Mumbai,25-34,Male,6-10L,YouTube,Ashwagandha,Awareness,,Lack of Trust,0,,,,4.8
VE0058,2024-07-29,Lucknow,45-54,Female,20L+,Offline Store,Ashwagandha,Intent,Influencer,Too Many Options,0,,,,7.0
VE0059,2024-10-28,Bangalore,45-54,Prefer not to say,6-10L,YouTube,Multivitamin,Purchase,Doctor Recommended,None,500,8,Passive,Packaging,8.9
VE0060,2024-09-12,Ahmedabad,45-54,Male,10-20L,YouTube,Whey Protein,Consideration,,Prefer Offline,0,,,,14.8
VE0061,2024-07-23,Mumbai,18-24,Male,10-20L,Google Search,Whey Protein,Consideration,,Lack of Trust,0,,,,11.9
VE0062,2024-10-20,Bangalore,25-34,Female,<3L,Facebook,Ashwagandha,Consideration,,Unsure of Efficacy,0,,,,10.1
VE0063,2024-10-02,Lucknow,25-34,Female,6-10L,Facebook,Omega-3,Awareness,,Shipping Concerns,0,,,,14.9
VE0064,2024-09-15,Mumbai,45-54,Male,<3L,Word of Mouth,Collagen,Consideration,,Shipping Concerns,0,,,,11.8
VE0065,2024-08-28,Mumbai,35-44,Male,20L+,Doctor Recommendation,Vitamin D3,Intent,Doctor Recommended,Unsure of Efficacy,0,,,,14.0
VE0066,2024-09-06,Bangalore,35-44,Female,20L+,Google Search,Whey Protein,Consideration,,Shipping Concerns,0,,,,5.8
VE0067,2024-09-25,Delhi,18-24,Female,20L+,Instagram,Collagen,Consideration,,Unsure of Efficacy,0,,,,16.0
VE0068,2024-11-20,Kolkata,25-34,Male,10-20L,Word of Mouth,Probiotic,Intent,Discount/Offer,None,0,,,,10.4
VE0069,2024-06-26,Pune,35-44,Male,3-6L,YouTube,Whey Protein,Repeat Purchase,Doctor Recommended,None,500,5,Detractor,Product Efficacy,16.3
VE0070,2024-11-06,Chennai,25-34,Female,3-6L,Google Search,Omega-3,Consideration,,Prefer Offline,0,,,,13.6
VE0071,2024-07-11,Delhi,55+,Prefer not to say,3-6L,Facebook,Ashwagandha,Intent,Peer Recommendation,Too Expensive,0,,,,12.2
VE0072,2024-10-26,Mumbai,35-44,Male,10-20L,YouTube,Whey Protein,Awareness,,Lack of Trust,0,,,,16.8
VE0073,2024-10-06,Kolkata,45-54,Female,3-6L,Doctor Recommendation,Whey Protein,Intent,Peer Recommendation,Too Many Options,0,,,,13.0
VE0074,2024-11-08,Chennai,25-34,Male,6-10L,Word of Mouth,Whey Protein,Consideration,,Too Expensive,0,,,,15.1
VE0075,2024-09-02,Hyderabad,45-54,Female,3-6L,Doctor Recommendation,Omega-3,Awareness,,Lack of Trust,0,,,,15.4
VE0076,2024-09-28,Lucknow,18-24,Prefer not to say,10-20L,Word of Mouth,Vitamin D3,Awareness,,Lack of Trust,0,,,,5.7
VE0077,2024-09-10,Delhi,35-44,Male,10-20L,Word of Mouth,Ashwagandha,Awareness,,None,0,,,,13.6
VE0078,2024-09-29,Delhi,45-54,Female,20L+,Instagram,Whey Protein,Awareness,,Shipping Concerns,0,,,,13.3
VE0079,2024-06-30,Delhi,55+,Male,6-10L,Instagram,Probiotic,Intent,Peer Recommendation,None,0,,,,12.4
VE0080,2024-07-10,Ahmedabad,35-44,Female,6-10L,Facebook,Multivitamin,Repeat Purchase,Discount/Offer,None,1500,8,Passive,Taste/Texture,9.3
VE0081,2024-09-10,Mumbai,55+,Female,10-20L,Instagram,Whey Protein,Consideration,,Too Expensive,0,,,,7.8
VE0082,2024-07-03,Pune,25-34,Female,6-10L,Google Search,Collagen,Consideration,,Lack of Trust,0,,,,8.2
VE0083,2024-07-08,Lucknow,35-44,Female,<3L,Doctor Recommendation,Whey Protein,Consideration,,Too Many Options,0,,,,6.9
VE0084,2024-06-14,Delhi,25-34,Male,<3L,YouTube,Multivitamin,Purchase,Discount/Offer,None,300,8,Passive,Taste/Texture,5.3
VE0085,2024-10-01,Kolkata,25-34,Male,10-20L,YouTube,Probiotic,Purchase,Ingredients Quality,None,4000,10,Promoter,Customer Support,10.6
VE0086,2024-11-02,Bangalore,45-54,Male,6-10L,Doctor Recommendation,Omega-3,Awareness,,Prefer Offline,0,,,,10.1
VE0087,2024-09-25,Bangalore,35-44,Male,3-6L,Instagram,Vitamin D3,Repeat Purchase,Peer Recommendation,None,700,10,Promoter,Customer Support,12.4
VE0088,2024-10-22,Hyderabad,35-44,Male,10-20L,Facebook,Omega-3,Awareness,,Too Expensive,0,,,,12.6
VE0089,2024-08-30,Delhi,25-34,Male,6-10L,Doctor Recommendation,Multivitamin,Repeat Purchase,Influencer,None,500,9,Promoter,Customer Support,13.9
VE0090,2024-06-08,Delhi,35-44,Male,3-6L,Instagram,Probiotic,Repeat Purchase,Peer Recommendation,None,500,7,Passive,Price-Value,6.6
VE0091,2024-08-19,Pune,35-44,Female,<3L,Instagram,Whey Protein,Consideration,,Unsure of Efficacy,0,,,,11.1
VE0092,2024-09-22,Bangalore,25-34,Male,3-6L,Instagram,Ashwagandha,Purchase,Price,None,500,7,Passive,Packaging,6.4
VE0093,2024-08-05,Mumbai,18-24,Male,6-10L,Instagram,Omega-3,Intent,Doctor Recommended,Unsure of Efficacy,0,,,,10.4
VE0094,2024-09-26,Jaipur,45-54,Female,6-10L,Word of Mouth,Multivitamin,Trial,Ingredients Quality,Shipping Concerns,0,,,,5.7
VE0095,2024-06-28,Mumbai,35-44,Female,6-10L,YouTube,Multivitamin,Intent,Price,Prefer Offline,0,,,,9.2
VE0096,2024-11-13,Kolkata,25-34,Male,3-6L,Google Search,Collagen,Intent,Influencer,Lack of Trust,0,,,,13.7
VE0097,2024-10-23,Chennai,55+,Male,20L+,YouTube,Omega-3,Consideration,,Lack of Trust,0,,,,9.3
VE0098,2024-06-19,Mumbai,25-34,Male,10-20L,Instagram,Probiotic,Awareness,,Too Many Options,0,,,,10.7
VE0099,2024-10-20,Jaipur,35-44,Male,20L+,Google Search,Whey Protein,Intent,Influencer,Lack of Trust,0,,,,17.8
VE0100,2024-06-22,Bangalore,18-24,Male,6-10L,YouTube,Omega-3,Repeat Purchase,Ingredients Quality,None,1500,3,Detractor,Product Efficacy,13.7
VE0101,2024-08-12,Mumbai,45-54,Prefer not to say,6-10L,Instagram,Whey Protein,Consideration,,Unsure of Efficacy,0,,,,6.2
VE0102,2024-06-22,Mumbai,25-34,Female,10-20L,Word of Mouth,Collagen,Awareness,,Too Many Options,0,,,,13.2
VE0103,2024-09-17,Bangalore,18-24,Male,20L+,YouTube,Collagen,Consideration,,Too Expensive,0,,,,15.9
VE0104,2024-06-26,Bangalore,35-44,Female,6-10L,Word of Mouth,Probiotic,Consideration,,Too Expensive,0,,,,15.7
VE0105,2024-11-07,Kolkata,18-24,Male,6-10L,Word of Mouth,Multivitamin,Intent,Influencer,Prefer Offline,0,,,,17.5
VE0106,2024-09-29,Ahmedabad,25-34,Female,6-10L,YouTube,Collagen,Awareness,,Prefer Offline,0,,,,17.5
VE0107,2024-07-22,Kolkata,18-24,Male,6-10L,Doctor Recommendation,Omega-3,Consideration,,Shipping Concerns,0,,,,5.6
VE0108,2024-07-12,Mumbai,45-54,Male,6-10L,Facebook,Multivitamin,Purchase,Brand Trust,None,500,7,Passive,Product Efficacy,17.1
VE0109,2024-11-14,Mumbai,18-24,Male,20L+,YouTube,Collagen,Awareness,,Prefer Offline,0,,,,16.7
VE0110,2024-06-05,Mumbai,45-54,Female,10-20L,Google Search,Whey Protein,Purchase,Influencer,None,1000,10,Promoter,Price-Value,11.7
VE0111,2024-11-09,Bangalore,25-34,Male,6-10L,Google Search,Multivitamin,Consideration,,Too Expensive,0,,,,5.4
VE0112,2024-10-13,Hyderabad,45-54,Male,<3L,Doctor Recommendation,Whey Protein,Intent,Doctor Recommended,Too Expensive,0,,,,14.4
VE0113,2024-11-08,Delhi,35-44,Female,3-6L,YouTube,Multivitamin,Consideration,,Too Many Options,0,,,,13.0
VE0114,2024-07-05,Delhi,35-44,Male,3-6L,Instagram,Whey Protein,Consideration,,Prefer Offline,0,,,,7.9
VE0115,2024-11-13,Delhi,25-34,Female,10-20L,YouTube,Whey Protein,Consideration,,Lack of Trust,0,,,,9.1
VE0116,2024-07-18,Bangalore,25-34,Female,6-10L,Doctor Recommendation,Ashwagandha,Consideration,,Shipping Concerns,0,,,,8.8
VE0117,2024-06-21,Mumbai,25-34,Male,10-20L,Instagram,Omega-3,Consideration,,Shipping Concerns,0,,,,8.2
VE0118,2024-06-15,Delhi,35-44,Male,10-20L,Word of Mouth,Vitamin D3,Consideration,,Lack of Trust,0,,,,6.2
VE0119,2024-07-31,Pune,25-34,Male,6-10L,Google Search,Ashwagandha,Awareness,,Unsure of Efficacy,0,,,,12.2
VE0120,2024-10-14,Mumbai,25-34,Male,20L+,Instagram,Whey Protein,Consideration,,Too Expensive,0,,,,14.0
VE0121,2024-07-25,Lucknow,25-34,Female,6-10L,Instagram,Probiotic,Consideration,,Prefer Offline,0,,,,15.4
VE0122,2024-08-21,Chennai,35-44,Female,3-6L,YouTube,Whey Protein,Consideration,,Too Expensive,0,,,,11.4
VE0123,2024-07-02,Lucknow,45-54,Male,6-10L,YouTube,Ashwagandha,Consideration,,Too Expensive,0,,,,5.4
VE0124,2024-09-10,Lucknow,35-44,Female,10-20L,Doctor Recommendation,Whey Protein,Awareness,,Too Many Options,0,,,,10.8
VE0125,2024-10-11,Mumbai,45-54,Female,6-10L,Instagram,Vitamin D3,Consideration,,Too Expensive,0,,,,11.5
VE0126,2024-08-17,Delhi,25-34,Female,3-6L,Facebook,Probiotic,Awareness,,Unsure of Efficacy,0,,,,6.2
VE0127,2024-08-17,Hyderabad,18-24,Female,6-10L,Google Search,Whey Protein,Consideration,,Unsure of Efficacy,0,,,,15.6
VE0128,2024-06-08,Delhi,55+,Female,3-6L,Instagram,Ashwagandha,Intent,Influencer,Too Many Options,0,,,,11.0
VE0129,2024-11-23,Bangalore,25-34,Female,3-6L,YouTube,Omega-3,Intent,Doctor Recommended,None,0,,,,17.7
VE0130,2024-07-04,Pune,25-34,Male,3-6L,Instagram,Omega-3,Intent,Discount/Offer,Unsure of Efficacy,0,,,,15.5
VE0131,2024-10-26,Pune,25-34,Male,20L+,YouTube,Probiotic,Repeat Purchase,Ingredients Quality,None,2000,2,Detractor,Price-Value,16.4
VE0132,2024-11-15,Chennai,25-34,Male,<3L,Instagram,Multivitamin,Purchase,Doctor Recommended,None,300,3,Detractor,Customer Support,14.8
VE0133,2024-08-11,Kolkata,35-44,Female,3-6L,Instagram,Multivitamin,Awareness,,Too Many Options,0,,,,14.7
VE0134,2024-07-21,Hyderabad,25-34,Male,<3L,Word of Mouth,Collagen,Intent,Price,None,0,,,,6.7
VE0135,2024-11-05,Pune,25-34,Male,10-20L,Google Search,Ashwagandha,Consideration,,Unsure of Efficacy,0,,,,17.7
VE0136,2024-10-28,Mumbai,45-54,Female,6-10L,Google Search,Multivitamin,Consideration,,Too Many Options,0,,,,14.2
VE0137,2024-10-28,Bangalore,25-34,Female,10-20L,YouTube,Collagen,Intent,Brand Trust,Prefer Offline,0,,,,6.5
VE0138,2024-11-24,Mumbai,25-34,Female,6-10L,Doctor Recommendation,Ashwagandha,Intent,Discount/Offer,Prefer Offline,0,,,,8.7
VE0139,2024-07-15,Bangalore,35-44,Female,10-20L,Doctor Recommendation,Ashwagandha,Awareness,,Unsure of Efficacy,0,,,,7.1
VE0140,2024-08-03,Mumbai,25-34,Female,20L+,Word of Mouth,Ashwagandha,Purchase,Peer Recommendation,None,5000,4,Detractor,Delivery Speed,9.6
VE0141,2024-09-10,Kolkata,55+,Female,3-6L,YouTube,Ashwagandha,Repeat Purchase,Influencer,None,700,4,Detractor,Customer Support,12.4
VE0142,2024-08-02,Delhi,45-54,Male,3-6L,Instagram,Multivitamin,Consideration,,Too Expensive,0,,,,10.0
VE0143,2024-09-30,Bangalore,25-34,Prefer not to say,3-6L,Google Search,Probiotic,Intent,Peer Recommendation,None,0,,,,10.1
VE0144,2024-07-16,Jaipur,18-24,Female,10-20L,Instagram,Ashwagandha,Awareness,,Unsure of Efficacy,0,,,,4.6
VE0145,2024-10-24,Hyderabad,55+,Male,6-10L,Google Search,Omega-3,Awareness,,Too Expensive,0,,,,8.2
VE0146,2024-06-29,Mumbai,35-44,Female,10-20L,Instagram,Multivitamin,Consideration,,Too Expensive,0,,,,15.7
VE0147,2024-10-10,Mumbai,25-34,Male,20L+,YouTube,Vitamin D3,Repeat Purchase,Ingredients Quality,None,2000,6,Detractor,Price-Value,7.7
VE0148,2024-11-18,Delhi,25-34,Male,6-10L,Doctor Recommendation,Ashwagandha,Intent,Doctor Recommended,Too Many Options,0,,,,17.4
VE0149,2024-10-01,Delhi,35-44,Female,6-10L,Google Search,Omega-3,Consideration,,Too Expensive,0,,,,13.7
VE0150,2024-10-31,Ahmedabad,18-24,Male,10-20L,Instagram,Omega-3,Intent,Ingredients Quality,Too Expensive,0,,,,16.0
VE0151,2024-09-22,Delhi,25-34,Female,<3L,Google Search,Collagen,Purchase,Peer Recommendation,None,0,7,Passive,Delivery Speed,14.6
VE0152,2024-10-27,Delhi,25-34,Female,6-10L,Instagram,Probiotic,Awareness,,Prefer Offline,0,,,,10.0
VE0153,2024-07-05,Pune,55+,Female,6-10L,Offline Store,Multivitamin,Awareness,,Shipping Concerns,0,,,,5.6
VE0154,2024-11-17,Ahmedabad,18-24,Female,<3L,Offline Store,Multivitamin,Consideration,,Shipping Concerns,0,,,,17.7
VE0155,2024-09-27,Chennai,35-44,Female,10-20L,Instagram,Multivitamin,Consideration,,Lack of Trust,0,,,,4.9
VE0156,2024-11-17,Bangalore,35-44,Female,<3L,Instagram,Whey Protein,Consideration,,Lack of Trust,0,,,,7.8
VE0157,2024-06-12,Bangalore,25-34,Male,10-20L,Instagram,Omega-3,Consideration,,Lack of Trust,0,,,,12.3
VE0158,2024-11-20,Kolkata,25-34,Female,20L+,Google Search,Multivitamin,Intent,Peer Recommendation,Too Expensive,0,,,,12.0
VE0159,2024-06-13,Lucknow,55+,Female,10-20L,YouTube,Multivitamin,Intent,Influencer,Shipping Concerns,0,,,,16.1
VE0160,2024-07-07,Kolkata,45-54,Female,20L+,Google Search,Whey Protein,Intent,Discount/Offer,Shipping Concerns,0,,,,11.7
VE0161,2024-07-19,Delhi,25-34,Female,<3L,Instagram,Collagen,Consideration,,Too Expensive,0,,,,16.2
VE0162,2024-08-25,Mumbai,45-54,Male,3-6L,Word of Mouth,Ashwagandha,Awareness,,Shipping Concerns,0,,,,9.9
VE0163,2024-08-01,Hyderabad,35-44,Male,6-10L,YouTube,Multivitamin,Trial,Influencer,Shipping Concerns,0,,,,9.5
VE0164,2024-09-14,Delhi,45-54,Female,<3L,Google Search,Ashwagandha,Awareness,,Unsure of Efficacy,0,,,,9.0
VE0165,2024-09-06,Hyderabad,25-34,Female,20L+,YouTube,Collagen,Consideration,,Lack of Trust,0,,,,6.8
VE0166,2024-08-30,Delhi,35-44,Male,20L+,Google Search,Ashwagandha,Intent,Discount/Offer,Too Many Options,0,,,,10.1
VE0167,2024-11-09,Mumbai,35-44,Male,6-10L,YouTube,Ashwagandha,Consideration,,Prefer Offline,0,,,,4.7
VE0168,2024-10-15,Hyderabad,18-24,Female,3-6L,Offline Store,Whey Protein,Awareness,,Too Many Options,0,,,,5.9
VE0169,2024-06-25,Bangalore,25-34,Female,3-6L,YouTube,Collagen,Consideration,,Prefer Offline,0,,,,17.9
VE0170,2024-07-28,Mumbai,45-54,Male,20L+,Google Search,Whey Protein,Purchase,Price,None,7000,9,Promoter,Packaging,17.7
VE0171,2024-06-25,Ahmedabad,45-54,Male,20L+,Word of Mouth,Omega-3,Consideration,,Too Many Options,0,,,,16.6
VE0172,2024-10-23,Chennai,18-24,Female,<3L,Instagram,Whey Protein,Awareness,,Shipping Concerns,0,,,,8.5
VE0173,2024-10-23,Mumbai,45-54,Male,20L+,YouTube,Collagen,Consideration,,Lack of Trust,0,,,,5.2
VE0174,2024-09-20,Mumbai,18-24,Female,6-10L,Google Search,Vitamin D3,Consideration,,Lack of Trust,0,,,,11.1
VE0175,2024-08-31,Hyderabad,25-34,Male,6-10L,YouTube,Collagen,Repeat Purchase,Peer Recommendation,None,1000,9,Promoter,Packaging,5.9
VE0176,2024-06-02,Jaipur,25-34,Female,<3L,Instagram,Omega-3,Purchase,Ingredients Quality,None,300,10,Promoter,Product Efficacy,10.1
VE0177,2024-06-22,Pune,35-44,Prefer not to say,3-6L,Google Search,Ashwagandha,Repeat Purchase,Brand Trust,None,700,8,Passive,Product Efficacy,7.9
VE0178,2024-08-03,Pune,25-34,Female,6-10L,Instagram,Whey Protein,Consideration,,Unsure of Efficacy,0,,,,10.4
VE0179,2024-09-19,Kolkata,45-54,Prefer not to say,3-6L,YouTube,Vitamin D3,Intent,Discount/Offer,Unsure of Efficacy,0,,,,17.6
VE0180,2024-08-02,Mumbai,25-34,Female,3-6L,Facebook,Whey Protein,Awareness,,Too Expensive,0,,,,17.4
VE0181,2024-09-27,Jaipur,25-34,Female,10-20L,Instagram,Collagen,Awareness,,Too Many Options,0,,,,13.1
VE0182,2024-08-01,Mumbai,18-24,Male,6-10L,YouTube,Ashwagandha,Intent,Discount/Offer,Unsure of Efficacy,0,,,,15.2
VE0183,2024-09-01,Chennai,45-54,Female,20L+,Instagram,Multivitamin,Intent,Influencer,Too Many Options,0,,,,17.6
VE0184,2024-08-24,Lucknow,25-34,Male,3-6L,Google Search,Omega-3,Purchase,Ingredients Quality,None,500,7,Passive,Product Efficacy,5.9
VE0185,2024-09-15,Jaipur,18-24,Female,10-20L,YouTube,Multivitamin,Awareness,,Prefer Offline,0,,,,10.9
VE0186,2024-09-21,Pune,25-34,Male,<3L,Word of Mouth,Whey Protein,Intent,Discount/Offer,Lack of Trust,0,,,,12.0
VE0187,2024-08-24,Hyderabad,55+,Male,6-10L,Instagram,Ashwagandha,Intent,Brand Trust,Too Many Options,0,,,,4.6
VE0188,2024-07-25,Mumbai,35-44,Female,<3L,Instagram,Probiotic,Purchase,Influencer,None,300,9,Promoter,Customer Support,12.4
VE0189,2024-08-29,Mumbai,25-34,Male,10-20L,Doctor Recommendation,Probiotic,Consideration,,Unsure of Efficacy,0,,,,8.6
VE0190,2024-07-17,Mumbai,18-24,Male,6-10L,Google Search,Omega-3,Intent,Discount/Offer,Too Expensive,0,,,,11.1
VE0191,2024-07-06,Delhi,45-54,Female,10-20L,Facebook,Omega-3,Intent,Ingredients Quality,Unsure of Efficacy,0,,,,10.1
VE0192,2024-09-22,Bangalore,18-24,Male,10-20L,YouTube,Multivitamin,Trial,Peer Recommendation,Too Many Options,0,,,,12.2
VE0193,2024-08-08,Pune,45-54,Male,10-20L,Instagram,Ashwagandha,Consideration,,Too Expensive,0,,,,8.5
VE0194,2024-06-09,Bangalore,25-34,Female,6-10L,Offline Store,Collagen,Consideration,,Too Many Options,0,,,,16.1
VE0195,2024-11-04,Chennai,18-24,Male,3-6L,Instagram,Whey Protein,Intent,Doctor Recommended,Lack of Trust,0,,,,12.2
VE0196,2024-10-10,Lucknow,35-44,Male,20L+,Word of Mouth,Probiotic,Awareness,,Shipping Concerns,0,,,,14.0
VE0197,2024-07-04,Mumbai,35-44,Female,10-20L,Word of Mouth,Omega-3,Purchase,Discount/Offer,None,1000,8,Passive,Delivery Speed,13.9
VE0198,2024-09-03,Bangalore,25-34,Female,10-20L,Doctor Recommendation,Whey Protein,Awareness,,Too Many Options,0,,,,16.0
VE0199,2024-10-15,Bangalore,55+,Female,6-10L,YouTube,Multivitamin,Intent,Peer Recommendation,Shipping Concerns,0,,,,5.1
VE0200,2024-11-08,Pune,25-34,Male,10-20L,YouTube,Whey Protein,Awareness,,Too Expensive,0,,,,16.4
